method,runs,hit_rate,hit_ci_lo,hit_ci_hi,mean_metric,metric_ci_lo,metric_ci_hi,mean_p_opt,mean_seconds
brute_force,12,1.0,0.7574992425007574,1.0,0.0,0.0,0.0,,0.11491666666666667
qaoa_numpy_p1,108,0.027777777777777776,0.009491167942144545,0.07850471194512457,39.879629629629626,34.629629629629626,45.5462962962963,0.00992777777777778,0.7557222222222223
qaoa_numpy_p2,108,0.027777777777777776,0.009491167942144545,0.07850471194512457,28.296296296296298,24.60185185185185,32.351851851851855,0.016831314814814816,2.502046296296296
qaoa_numpy_p3,108,0.046296296296296294,0.019934521435234435,0.1038262259074359,24.675925925925927,20.87037037037037,28.77777777777778,0.026622212962962966,5.284944444444444
qaoa_numpy_p4,90,0.1111111111111111,0.0614825297021024,0.19257963462587152,17.166666666666668,13.322222222222223,21.72222222222222,0.04065115555555556,2.3145111111111114
simulated_annealing,108,0.3611111111111111,0.2767340307537134,0.45502946333077743,4.212962962962963,3.0925925925925926,5.416666666666667,,1.2493611111111111
