n,M,qubits,statevector_ram,qaoa_sim_ideal,qaoa_sim_noisy_local,est_local_time
3,3,9,8 KB,Oui, local,oui,< 1 min
4,3,12,64 KB,Oui, local,oui,< 1 min
5,3,15,512 KB,Oui, local,non,1-3 min
6,3,18,4 MB,Oui, local,non,5-15 min
7,3,21,32 MB,Oui, local,non,20-45 min
8,3,24,256 MB,Oui, local,non,1-3 h
9,3,27,2.0 GB,Oui, local,non,3-8 h (nuit)
10,3,30,16.0 GB,HPC seulement,non,hors capacite locale
12,3,36,1.0 TB,HPC seulement,non,hors capacite locale
25,3,75,~6.0e23 octets,Impossible (toute machine),non,hors capacite locale
50,3,150,~2.3e46 octets,Impossible (toute machine),non,hors capacite locale
