method,runs,hit_rate,hit_ci_lo,hit_ci_hi,mean_metric,metric_ci_lo,metric_ci_hi,mean_p_opt,mean_seconds
brute_force,12,1.0,0.7574992425007574,1.0,0.0,0.0,0.0,,0.11491666666666667
qaoa_numpy_p1,108,0.027777777777777776,0.009491167942144545,0.07850471194512457,1.0,0.375,1.75,0.00992777777777778,0.7557222222222223
qaoa_numpy_p2,108,0.027777777777777776,0.009491167942144545,0.07850471194512457,1.0,0.5833333333333334,1.5,0.016831314814814816,2.502046296296296
qaoa_numpy_p3,108,0.046296296296296294,0.019934521435234435,0.1038262259074359,1.0526315789473684,0.6842105263157895,1.4210526315789473,0.026622212962962966,5.284944444444444
qaoa_numpy_p4,90,0.1111111111111111,0.0614825297021024,0.19257963462587152,0.9642857142857143,0.6428571428571429,1.3214285714285714,0.04065115555555556,2.3145111111111114
simulated_annealing,108,0.3611111111111111,0.2767340307537134,0.45502946333077743,0.6363636363636364,0.4805194805194805,0.8051948051948052,,1.2493611111111111
