method,runs,hit_rate,hit_ci_lo,hit_ci_hi,mean_metric,metric_ci_lo,metric_ci_hi,mean_p_opt,mean_seconds
brute_force,9,1.0,0.7008472464490407,1.0,0.0,0.0,0.0,,0.02011111111111111
qaoa_numpy_p1,90,0.03333333333333333,0.011400183632439498,0.09347441356112923,31.4,27.766666666666666,35.388888888888886,0.01176021111111111,0.2143222222222222
qaoa_numpy_p2,90,0.03333333333333333,0.011400183632439498,0.09347441356112923,24.18888888888889,20.933055555555555,27.61111111111111,0.01958117777777778,0.6443
qaoa_numpy_p3,90,0.05555555555555555,0.023960618284343184,0.12353899809048416,19.766666666666666,16.444444444444443,23.266666666666666,0.03148515555555556,1.3383111111111112
qaoa_numpy_p4,90,0.1111111111111111,0.0614825297021024,0.19257963462587152,17.166666666666668,13.322222222222223,21.72222222222222,0.04065115555555556,2.3145111111111114
simulated_annealing,90,0.4222222222222222,0.32542241309246966,0.525390019773125,2.6333333333333333,1.8111111111111111,3.5,,1.1683444444444444
